Warehouse 1 (Rome) | Car: Porsche Cayenne (ID: 1, Year: 2007, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: BMW M5 (ID: 2, Year: 2006, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Alfa_Romeo GTV (ID: 4, Year: 2008, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Cadillac (ID: 5, Year: 1999, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Toyota Prius (ID: 6, Year: 2015, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Suzuki Vitara (ID: 7, Year: 2010, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Nissan X-Trail (ID: 8, Year: 2015, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Infinity EX (ID: 9, Year: 2007, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Toyota Camry (ID: 12, Year: 2006, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Toyota Corolla (ID: 16, Year: 2010, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Volvo 940 (ID: 17, Year: 2007, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Reno Megane (ID: 18, Year: 2008, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Volvo 240 (ID: 20, Year: 2007, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: BMW M5 (ID: 22, Year: 2007, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Hyundai Creta (ID: 23, Year: 2015, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Alfa_Romeo GTV (ID: 24, Year: 2000, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Mercedes Benz E-Class (ID: 25, Year: 2010, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Mercedes Benz S-Class (ID: 26, Year: 2008, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Volvo 240 (ID: 27, Year: 1999, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Porsche Panamera (ID: 28, Year: 2014, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Cadillac (ID: 29, Year: 2000, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Toyota Camry (ID: 30, Year: 2016, Cost: 1000, Note: Inspection completed)
Warehouse 1 (Rome) | Car: Ford Mondeo (ID: 31, Year: 2014, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Volvo 240 (ID: 32, Year: 2000, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Ford Kuga (ID: 33, Year: 2004, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Cadillac CT5 (ID: 34, Year: 2016, Cost: 1000, Note: Inspection completed)
Warehouse 1 (Rome) | Car: Hyundai Sonata (ID: 35, Year: 2001, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Reno Logan (ID: 36, Year: 2014, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Volvo 240 (ID: 37, Year: 2008, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Cadillac CT5 (ID: 38, Year: 2009, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Toyota Camry (ID: 40, Year: 1998, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Volvo 240 (ID: 41, Year: 2016, Cost: 1000, Note: Inspection completed)
Warehouse 1 (Rome) | Car: Cadillac CT4 (ID: 42, Year: 2007, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: BMW F10 (ID: 43, Year: 2002, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Lada 2107 (ID: 44, Year: 1999, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Nissan Juke (ID: 45, Year: 2012, Cost: 1000, Note: )
Warehouse 1 (Rome) | Car: Alfa_Romeo (ID: 46, Year: 1998, Cost: 1000, Note: )
